SCAN_NO_TECH	{No scan technology installed}
SCAN_BROKEN	{Scanner is critically damaged}
SCAN_RECHARGE	{Scanner recharging}
WARP_MSG	{Discovered system in %SYSTEM%}
DISCOVER_BEACON	{Discovered beacon %BEACON%}
DISCOVER_RELIC	{Discovered %RELIC%}
DISCOVER_CREATURE	{Discovered %CREATURE%}
DISCOVER_CREATURE_NEW	{Newly discovered %CREATURE%}
DISCOVER_PLANET	{New planet discovered}
DISCOVER_PLANET_BY	{Planet discovered by %USER%}
CTRL_NORMAL	{CONTROL MODE: NORMAL}
CTRL_INVERT	{CONTROL MODE: INVERTED}
CTRL_FLIGHT	{CONTROL MODE: FLIGHT STICK}
PRIMARY_SHIP_SWITCH	{Primary Starship switched}
BEACON_SYNC	{Beacon sync established}
BEACON_BUSY	{Beacon sync busy}
BEACON_TITLE	{%NUMBER% records uploaded}
BEACON_SUB1	{%NUMCLAIMED% claimed // %NUMREJECTED% rejected}
BEACON_SUB2	{%UNITS% units have been credited to your account}
NOOXYGEN	{OXYGEN}
EXTREMECOLD	{EXTREME COLD}
EXTREMEHEAT	{EXTREME HEAT}
RADIATION	{RADIATION}
TOXICGAS	{TOXIC RAIN}
HAZ_CRIT_O2	{DANGER: LOW OXYGEN LEVELS}
HAZ_CRIT_HEAT	{DANGER: HEAT LEVELS CRITICAL}
HAZ_CRIT_COLD	{DANGER: CRITICAL HYPOTHERMIA}
HAZ_CRIT_TOXIC	{DANGER: TOXIC RAIN BREACH}
HAZ_CRIT_RAD	{DANGER: RADIATION BREACH}
HAZ_CRIT_SHIELD	{DANGER: SHIELD COMPROMISED}
EXIT_PLANET	{Exiting atmosphere}
BOOST_ENEMY	{Thrusters offline - Local enemy disruption}
BOOST_ATMOS	{Thrusters offline - Atmospheric interference}
BOOST_FREIGHTER	{Thrusters offline - Large ship proximity}
BOOST_STATION	{Thrusters offline - Space Station proximity}
JUMP_OBSTRUCT	{Pulse Engine Unavailable <IMG>SLASH<> Planetary Interference}
JUMP_ENEMY	{Pulse Engine Unavailable <IMG>SLASH<> Local Enemy Disruption}
JUMP_ATMOS	{Pulse Engine Unavailable <IMG>SLASH<> Atmospheric Interference}
