UI_VR_RECENTRE	{Recentre VR View}
UI_PADOPTION_STICKS	{Sticks: Smooth Turns}
UI_PADOPTIONS_STICKSSNAP	{Sticks: Snap Turns}
UI_PADOPTIONS_GESTURES	{Sticks: Emulate Gestures}
UI_MOVEMODE_PAD	{Movement Mode: Pad}
UI_MOVEMODE_POINTTOMOVE	{Gesture Movement: Point to Move}
UI_MOVEMODE_TELEPORT	{Gesture Movement: Teleport}
UI_MOVEMODE	{Movement Mode}
UI_MOVESETTINGS_TELEPORT_ALT	{Teleport}
UI_MOVESETTINGS_POINTTOMOVE_ALT	{Point to Move}
UI_MOVESETTINGS_STICKS_ALT	{Sticks}
UI_MOVESETTINGS_POINT_ALT	{Smooth}
UI_MOVESETTINGS_POINTTOMOVE	{Movement Mode: Point to Move}
UI_MOVESETTINGS_STICKS	{Movement Mode: Sticks}
UI_MOVESETTINGS_TELEPORT	{Movement Mode: Teleport}
UI_MOVESETTINGS_POINT	{Movement Mode: Smooth}
UI_TURNSETTINGS	{Turning Mode}
UI_TURNSETTINGS_SMOOTH_ALT	{Smooth}
UI_TURNSETTINGS_SNAP_ALT	{Snap}
UI_TURNSETTINGS_SNAP	{Turning Mode: Snap}
UI_TURNSETTINGS_SMOOTH	{Turning Mode: Smooth}
UI_VIGNETTE	{VR Vignette}
UI_VIGNETTE_ON	{VR Vignette: On}
UI_VIGNETTE_OFF	{VR Vignette: Off}
UI_VR_ANALOGUE_MOVE_ON	{Analogue Movement: Enabled}
UI_VR_ANALOGUE_MOVE_OFF	{Analogue Movement: Disabled}
UI_HAND_SWITCH	{MODE <IMG>SWITCH<>}
UI_HAND_SWITCH_ALT	{ALT MODE <IMG>SWITCH<>}
OPTS_VR	{VR Options}
OPTS_VR_RESET	{Reset Headset}
UI_VIGNETTE_TURN	{Vignette Turn}
UI_VIGNETTE_MOVE	{Vignette Move}
UI_VIGNETTE_STRENGTH	{Vignette Strength}
UI_VIGNETTE_FALL	{Vignette Fall}
UI_COMFORT_VIBRATION	{Vibration}
UI_COMFORT_DAMAGE_SHAKE	{Damage Shake}
UI_VIGNETTE_LANDING_COMFORT	{Landing Comfort}
UI_TURNSETTINGS_SNAP_ANGLE	{Snap Angle}
UI_TURNSETTINGS_ACCELERATION	{Rotation Acceleration}
UI_TURNSETTINGS_180	{Turn 180}
UI_TURNSETTINGS_SMOOTH_SPEED	{Smooth Turn Speed}
UI_TURNSETTINGS_SNAP_HOLD	{Hold Snap Turning}
UI_COMFORT_HANDEDNESS	{Handedness}
UI_COMFORT_HANDEDNESS_LEFT	{Left}
UI_COMFORT_HANDEDNESS_RIGHT	{Right}
UI_COMFORT_PRESET_COMFORT	{Comfort}
UI_COMFORT_PRESET_STANDARD	{Standard}
UI_COMFORT_PRESET_SNAP	{Snap}
UI_COMFORT_SETTINGS	{Comfort Settings}
UI_COMFORT_SETTINGS_U	{COMFORT SETTINGS}
UI_COMFORT_PRESET_CUSTOM	{Custom}
HAND_QUICK	{QUICK MENU}
HAND_BUILD	{BUILD MENU}
HAND_INVENTORY	{INVENTORY}
HAND_MODE	{CHANGE MODE}
HAND_RELOAD	{RELOAD}
CTRL_BTN_SHIELD	{Activate Forcefield}
CTRL_ANLG_BUILD_ROTATE_FREE	{Free Rotate Part}
CTRL_ANLG_BUILD_ROTATE_FREE_L	{Free Rotate Left}
CTRL_ANLG_BUILD_ROTATE_FREE_R	{Free Rotate Right}
CTRL_ANLG_BUILD_ROTATE_FREE_Z	{Free Rotate Z-Axis}
CTRL_ANLG_BUILD_ROTATE_FREE_Y	{Free Rotate Y-Axis}
CTRL_ANLG_CUSTOMISER_CAMERA	{Rotate Camera}
CTRL_ANLG_CUSTOMISER_PITCHCAM	{Rotate Camera (Vertical)}
CTRL_ANLG_CUSTOMISER_ROTATECAM	{Rotate Camera (Horizontal)}
CTRL_ANLG_GALAXY_CAMERALOOK	{Camera Look}
CTRL_ANLG_GALAXY_CAMERALOOKX	{Camera Horizontal Look}
CTRL_ANLG_GALAXY_CAMERALOOKY	{Camera Vertical Look}
CTRL_ANLG_GALAXY_DOWN	{Move Down}
CTRL_ANLG_GALAXY_MOVE	{Player Movement}
CTRL_ANLG_GALAXY_PLAYERMOVEBACK	{Player Movement (Back)}
CTRL_ANLG_GALAXY_PLAYERMOVEFWD	{Player Movement (Forward)}
CTRL_ANLG_GALAXY_PLAYERMOVEX	{Player Movement (Left/Right)}
CTRL_ANLG_GALAXY_PLAYERMOVEY	{Player Movement (Forward/Back)}
CTRL_ANLG_GALAXY_UP	{Move Up}
CTRL_ANLG_GALAXY_UPDOWN	{Move Up / Down}
CTRL_ANLG_GALAXY_GESTURE	{Camera Look}
CTRL_ANLG_GALAXY_PLAYERMOVE_L	{Move Left}
CTRL_ANLG_GALAXY_PLAYERMOVE_R	{Move Right}
CTRL_ANLG_SHIP_LOOK	{Look}
CTRL_ANLG_SHIP_LOOKY	{Look (Vertical)}
CTRL_ANLG_SHIP_PITCH	{Pitch}
CTRL_ANLG_SHIP_STEER	{Steer}
CTRL_ANLG_SHIP_STRAFE	{Thrust}
CTRL_ANLG_SHIP_STRAFEHORIZONTAL	{Horizontal Thrust}
CTRL_ANLG_SHIP_STRAFEVERTICAL	{Vertical Thrust}
CTRL_ANLG_SHIP_TURN	{Turn}
CTRL_ANLG_SHIP_TURNLEFT	{Turn Left}
CTRL_ANLG_UI_CAMERA	{Object Camera}
CTRL_ANLG_UI_CAMERAX	{Object Camera (Horizontal)}
CTRL_ANLG_UI_CAMERAY	{Object Camera (Vertical)}
CTRL_ANLG_UI_CURSOR	{Cursor Movement}
CTRL_BTN_BUILD_DELETE	{Modify Placed Part}
CTRL_BTN_BUILD_PINRECIPE	{Pin Formula}
CTRL_BTN_BUILD_PLACE	{Place Building Part}
CTRL_BTN_BUILD_ROTATE_FREE_H	{Free Rotate Horizontal}
CTRL_BTN_BUILD_ROTATE_LEFT	{Rotate Part Left}
CTRL_BTN_BUILD_ROTATE_RIGHT	{Rotate Part Right}
CTRL_BTN_BUILD_ROTATE_LEFT_Z	{Tilt Part Left}
CTRL_BTN_BUILD_ROTATE_RIGHT_Z	{Tilt Part Right}
CTRL_BTN_BUILD_ROTATE_LEFT_Y	{Rotate Part Left}
CTRL_BTN_BUILD_ROTATE_RIGHT_Y	{Rotate Part Right}
CTRL_BTN_BUILD_SET_DOWN	{Enter Menu}
CTRL_BTN_BUILD_SET_UP	{Back}
CTRL_BTN_BUILD_SWITCHBASE	{Switch Base}
CTRL_BTN_BUILD_TOGGLE_INFO	{Toggle Build Camera}
CTRL_BTN_CHANGEALTWEAPON	{Switch Alt Weapon}
CTRL_BTN_CUSTOMISER_SHOWCHAR	{Change Camera View}
CTRL_BTN_FE_ALT1	{Initiate Process}
CTRL_BTN_FE_BACK	{Back}
CTRL_BTN_FE_DESTROY	{Discard Item}
CTRL_BTN_FE_EXITMENU	{Exit Menu}
CTRL_BTN_FE_MSGSKIP	{Skip}
CTRL_BTN_FE_SELECT	{Confirm (Menus)}
CTRL_BTN_FE_TRANSFER	{Quick Transfer}
GALAXY_EXPAND	{Expand System Info}
CTRL_BTN_GALAXY_ACCELERATE	{Fast Navigation}
CTRL_BTN_GALAXY_CLEARWAYPOINTS	{Clear All Waypoints}
CTRL_BTN_GALAXY_DESELECT	{Toggle Free Look}
CTRL_BTN_GALAXY_EXIT	{Exit Map}
CTRL_BTN_GALAXY_HOME	{View Current Location}
CTRL_BTN_GALAXY_KBDMOVEDOWN	{Move Down}
CTRL_BTN_GALAXY_KBDMOVEUP	{Move Up}
CTRL_BTN_GALAXY_NEXTFILTER	{Next Filter}
CTRL_BTN_GALAXY_NEXTNAVTYPE	{Next Navigation Mode}
CTRL_BTN_GALAXY_PLANETBASE	{Highlight Home Base System}
CTRL_BTN_GALAXY_PREVIOUSFILTER	{Previous Filter}
CTRL_BTN_GALAXY_PREVIOUSNAVTYPE	{Previous Navigation Mode}
CTRL_BTN_GALAXY_SCANCHOOSENEXT	{Select Next System}
CTRL_BTN_GALAXY_SCREENSHOT	{Toggle UI}
CTRL_BTN_GALAXY_SELECT	{Warp}
CTRL_BTN_GALAXY_TOGGLEWAYPOINT	{Add Waypoint}
CTRL_BTN_GAMEMODE_CANCELDELETE	{Mode Select: Cancel}
CTRL_BTN_GAMEMODE_CHANGEUSER	{Mode Select: Switch Account}
CTRL_BTN_GAMEMODE_TITLESTART	{Mode Select: Start}
CTRL_BTN_GM_RESTART	{Delete}
CTRL_BTN_NETWORKRETRY	{Retry Network Connection}
CTRL_BTN_PHOTO_CAM	{View / Save Camera Effects}
CTRL_BTN_PHOTO_CAMDOWN	{Lower Camera Height}
CTRL_BTN_PHOTO_CAMERAROLLLEFT	{Roll Camera Left}
CTRL_BTN_PHOTO_CAMERAROLLRIGHT	{Roll Camera Right}
CTRL_BTN_PHOTO_CAMUP	{Raise Camera Height}
CTRL_BTN_PHOTO_CAPTURE	{Take Screenshot}
CTRL_BTN_PHOTO_CATLEFT	{Effects: Next Category}
CTRL_BTN_PHOTO_CATRIGHT	{Effects: Previous Category}
CTRL_BTN_PHOTO_EXIT	{Exit Photo Mode}
CTRL_BTN_PHOTO_HIDE	{Hide HUD}
CTRL_BTN_PHOTO_OPTIONDOWN	{Navigate Down}
CTRL_BTN_PHOTO_OPTIONUP	{Navigate Up}
CTRL_BTN_PHOTO_SUN	{Move Sun Position}
CTRL_BTN_PHOTO_VALUEDECREASE	{Decrease Setting}
CTRL_BTN_PHOTO_VALUEINCREASE	{Increase Setting}
CTRL_BTN_TAGMARKER	{Tag Marker}
CTRL_BTN_PLACEMARKER	{Place Marker}
CTRL_BTN_QUICK_ACTION	{Confirm (Quick Menu)}
CTRL_BTN_QUICK_BACK	{Back}
CTRL_BTN_QUICK_LEFT	{Navigate Left}
CTRL_BTN_QUICK_RIGHT	{Navigate Right}
CTRL_BTN_QUICK_UP	{Navigate Up}
CTRL_BTN_QUICK_DOWN	{Navigate Down}
CTRL_BTN_QUICKMENU_ENTERSUBMENU	{Enter Sub-Menu}
CTRL_BTN_QUICKMENU_NAVIGATE	{Quick Menu (Hand Controls)}
CTRL_BTN_QUITGAME	{Quit Game}
CTRL_BTN_SHIP_LOOKX	{Look (Horizontal)}
CTRL_BTN_SHIP_TURNRIGHT	{Turn Right}
CTRL_BTN_SHIPZOOM	{Zoom In}
CTRL_BTN_TERRAIN_EDIT	{Manipulate Terrain}
CTRL_BTN_TERRAIN_MENU	{Advanced Mode Menu}
CTRL_BTN_TERRAIN_ROT_TERRAIN_L	{Rotate Terrain Edit Plane Left}
CTRL_BTN_TERRAIN_ROT_TERRAIN_R	{Rotate Terrain Edit Plane Right}
CTRL_BTN_TERRAIN_EDIT_SHAPE	{Change Terrain Shape}
CTRL_BTN_TERRAIN_SIZEDOWN	{Decrease Terrain Beam Size}
CTRL_BTN_TERRAIN_SIZEUP	{Increase Terrain Beam Size}
CTRL_BTN_TERRAIN_SWITCHMODE	{Toggle Terrain Mine / Create}
CTRL_BTN_TEXTCHATOPENCLOSE	{Toggle Text Chat}
CTRL_BTN_TEXTCHATSEND	{Send Chat Message}
CTRL_BTN_TEXTPASTE	{Confirm Paste (Text Chat)}
CTRL_BTN_TEXTPASTEHOLD	{Hold to Paste (Text Chat)}
CTRL_BTN_UI_DOWN_SUB	{Lower Category / Shop Page Down}
CTRL_BTN_UI_LEFT	{Previous Page}
CTRL_BTN_UI_LEFT_SUB	{Previous Sub Page}
CTRL_BTN_UI_NETWORKPAGESHORTCUT	{Jump to network page in options}
CTRL_BTN_UI_NEXTINPUTCONTROLS	{Next Control Set}
CTRL_BTN_UI_PREVINPUTCONTROLS	{Previous Control Set}
CTRL_BTN_UI_RIGHT	{Next Page}
CTRL_BTN_UI_RIGHT_SUB	{Next Sub Page}
CTRL_BTN_UI_STACKSPLITDOWN	{Decrease Item Stack}
CTRL_BTN_UI_STACKSPLITUP	{Increase Item Stack}
CTRL_BTN_UI_TOGGLEBUYSELL	{Toggle Buy / Sell}
CTRL_BTN_UI_TOGGLETRADEINV	{Toggle Trade Inventory}
CTRL_BTN_UI_UP_SUB	{Upper Category / Shop Page Up}
CTRL_BTN_UI_VIEWPLAYERINFO	{Show Profile}
CTRL_BTN_UI_VIEWPLAYERINFO_XBOX	{Show Gamercard}
CTRL_BTN_VEHICLELEFT	{Steer Left}
CTRL_BTN_VEHICLERIGHT	{Steer Right}
CTRL_BTN_VR_AUTOWALK	{Toggle Auto Walk}
CTRL_BTN_VR_HANDCTRLHOLSTER	{Grab Multi-Tool}
CTRL_BTN_VR_INTERACTLEFT	{Left Hand Interaction}
CTRL_BTN_VR_MELEELEFT	{Left Hand Melee}
CTRL_BTN_VR_MOVEAROUND	{Point to Move}
CTRL_BTN_VR_PAUSE	{Pause Menu}
CTRL_BTN_VR_RECENTRE	{Recentre View}
CTRL_BTN_VR_RECENTRE1	{Recentre View (Button 1)}
CTRL_BTN_VR_RECENTRE2	{Recentre View (Button 2)}
CTRL_BTN_VR_SELECT	{Left Hand Confirm}
CTRL_BTN_VR_SMOOTHTURNLEFT	{Smooth Turn Left}
CTRL_BTN_VR_SMOOTHTURNRIGHT	{Smooth Turn Right}
CTRL_BTN_VR_SNAPTURNLEFT	{Snap Turn Left}
CTRL_BTN_VR_SNAPTURNRIGHT	{Snap Turn Right}
CTRL_BTN_VR_TELEPORTDIRECTION	{Teleport}
CTRL_BTN_INTERACTSECONDARY	{Secondary Interaction}
CTRL_BTN_SCALE_UP	{Scale Part Up}
CTRL_BTN_SCALE_DOWN	{Scale Part Down}
CTRL_BTN_ACTIVATE_ROTATE	{Activate Free Rotate}
CTRL_BTN_ACTIVATE_ROTATE1	{Activate Free Rotate}
CTRL_BTN_ACTIVATE_ROTATE2	{Activate Free Rotate}
CTRL_BTN_ACTIVATE_ROTATE1_ALT	{Activate Free Rotate (Button 1)}
CTRL_BTN_ACTIVATE_ROTATE2_ALT	{Activate Free Rotate (Button 2)}
CTRL_BTN_VISOR	{Analysis Visor}
CTRL_BTN_REPORT_BASE	{Report Offensive or Inappropriate Base}
CTRL_BTN_DISC_UPLOAD	{Upload Discoveries}
CTRL_BTN_DISC_VIEW_UP	{Discovery Page Scroll Up}
CTRL_BTN_DISC_VIEW_DOWN	{Discovery Page Scroll Down}
VR_CONTROLS_BUILD_MENU	{Build Menu Controls}
VR_CONTROLS_GALACTICMAP	{Galactic Map Controls}
VR_CONTROLS_MENU	{Menu Controls}
VR_CONTROLS_PHOTOMODE	{Photo Mode Controls}
VR_CONTROLS_PHOTOMODE_MENU	{Camera Effects Controls}
VR_CONTROLS_QUICK_MENU_ON-FOOT	{Quick Menu (On-Foot)}
VR_CONTROLS_QUICK_MENU_SHIP	{Quick Menu (Ship)}
VR_CONTROLS_TERRAIN_EDIT	{Terrain Manipulator Controls}
CONTROLS_MENU	{Menus}
CONTROLS_ONFOOT	{On Foot}
CONTROLS_QUICKMENU	{Quick Menu (On Foot)}
CONTROLS_SHIP	{Flight Controls}
CONTROLS_SHIPQUICKMENU	{Quick Menu (In Ship)}
CONTROLS_SHIPEXOQUICKMENU	{Quick Menu (Ship / Exocraft)}
CONTROLS_VEHICLE	{Exocraft}
CONTROLS_GALACTICMAP	{Galactic Map}
CONTROLS_PHOTOMODE_MENU	{Photo Mode (Menu)}
CONTROLS_PHOTOMODE_CAMERA	{Photo Mode}
CONTROLS_BUILDING	{Building Mode}
CONTROLS_ADV_ROTATE	{Base Part Positioning}
CONTROLS_TEXTCHAT	{Text Chat}
UI_VR_HINT_TITLE	{VR Guidance Message}
UI_VR_HINT_RESET_VIEW_OSD	{<IMG>SLASH<> Hold down <IMG>HMD_CENTRE1<> to recentre VR position <IMG>SLASH<>}
UI_VR_HINT_RESET_VIEW_OSD_ALT	{<IMG>SLASH<> Hold <IMG>HMD_CENTRE1<> and <IMG>HMD_CENTRE2<> together to recentre VR position <IMG>SLASH<>}
UI_VR_HINT_NOTIFICATIONS	{<STELLAR>Mission Objectives<>
Press <IMG>MISSION_TIP<> to view objectives
Objectives are always visible on your <STELLAR>left hand menu<>}
UI_HINT_NOTIFICATIONS	{<STELLAR>Mission Objectives<>
Press <IMG>MISSION_TIP<> to view or hide objectives}
UI_VR_HINT_NOTIFICATIONS_OSD	{Press <IMG>MISSION_TIP<> to view objectives}
UI_VR_HINT_NOTIFICATIONS_OSD_AL	{Point at your <STELLAR>left hand<> to view objectives}
UI_VR_HINT_RESET_VIEW	{Hold down <IMG>HMD_CENTRE1<> to recentre VR position}
UI_VR_HINT_RESET_VIEW_ALT	{Hold <IMG>HMD_CENTRE1<> and <IMG>HMD_CENTRE2<> together to recentre VR position}
UI_VR_HINT_SHIP_EXIT	{Hold <IMG>INTERACT_LEFT<> or <IMG>INTERACT<> and grab a <TRADEABLE>cockpit handle<>
Lift handle up to exit}
UI_VR_HINT_GRAB	{Hold <IMG>INTERACT<> when in range of an object
A line will draw towards the selected object
Pull the line towards you to interact}
UI_VR_HINT_GUN_TITLE	{Exosuit Initialisation In Progress}
UI_VR_HINT_GUN	{Reach over your shoulder, then press <IMG>VR_HOLSTER<> to pick up your Multi-Tool
